lambda	acc_train_mean	acc_dev_mean	acc_dev_all
3.0517578125e-05	0.706471575561166	0.703310125033107	0.703209716116061
6.103515625e-05	0.706471575561123	0.703310126526012	0.703209717646224
0.0001220703125	0.706471575560949	0.70331012951172	0.703209720706448
0.000244140625	0.706471575560254	0.703310135482726	0.703209726826487
0.00048828125	0.706471575557474	0.703310147423099	0.70320973906493
0.0009765625	0.706471575546357	0.703310171297291	0.703209763535278
0.001953125	0.706471575501889	0.703310219019455	0.703209812449824
0.00390625	0.706471575324035	0.703310314358927	0.703209910174333
0.0078125	0.706471574612772	0.703310504618572	0.70321010520515
0.015625	0.706471571768918	0.703310883461774	0.703210493595073
0.03125	0.706471560403083	0.70331163445254	0.703211263696759
0.0625	0.70647151501626	0.703313109721154	0.703212777256811
0.125	0.706471334078548	0.70331595396092	0.703215698355449
0.25	0.706470615164277	0.703321221639909	0.703221120837112
0.5	0.706467777570299	0.703330108213447	0.703230321207257
1	0.706456721979466	0.703341550859097	0.703242407082462
2	0.706414712846092	0.703341072940067	0.703243269990795
4	0.706262351462033	0.703260157177243	0.703165199199264
8	0.705752941224153	0.70286010247173	0.702771181932424
16	0.704253201729572	0.701503182897042	0.701426414367375
32	0.700509393726585	0.697923620377835	0.697868048133651
64	0.692524213402141	0.690132790668706	0.690106138225548
128	0.676992703157297	0.674847685869465	0.674849561074698
256	0.64795529955917	0.646085400403921	0.646107217476868
512	0.597495842746994	0.595870292576534	0.595904363843208
1024	0.521872843705605	0.520453760970915	0.520500586457795
2048	0.426717300269164	0.42551909541292	0.425583589194675
4096	0.321697163019273	0.320755886116974	0.320837402601804
8192	0.20650156207815	0.205808307736798	0.205901403869034
16384	0.0426974335415986	0.0421447100303212	0.042286157271844
32768	-0.294779023590365	-0.295498561594764	-0.295085768502667
