cluster_1	ubx_m13_FILTER_LEN11_12,ubx_m19_FILTER_LEN11_18
cluster_2	ubx_m23_FILTER_LEN11_22,ubx_m2_FILTER_LEN11_1,ubx_m78_FILTER_LEN11_77,ubx_m31_FILTER_LEN11_30,ubx_m24_FILTER_LEN11_23,ubx_m16_FILTER_LEN11_15,ubx_m58_FILTER_LEN11_57,ubx_m49_FILTER_LEN11_48,ubx_m77_FILTER_LEN11_76,ubx_m65_FILTER_LEN11_64,ubx_m3_FILTER_LEN11_2,ubx_m74_FILTER_LEN11_73,ubx_m20_FILTER_LEN11_19,ubx_m47_FILTER_LEN11_46,ubx_m38_FILTER_LEN11_37,ubx_m4_FILTER_LEN11_3,ubx_m30_FILTER_LEN11_29,ubx_m40_FILTER_LEN11_39,ubx_m97_FILTER_LEN11_96,ubx_m81_FILTER_LEN11_80,ubx_m88_FILTER_LEN11_87,ubx_m6_FILTER_LEN11_5,ubx_m54_FILTER_LEN11_53,ubx_m86_FILTER_LEN11_85,ubx_m66_FILTER_LEN11_65,ubx_m60_FILTER_LEN11_59,ubx_m92_FILTER_LEN11_91
cluster_3	ubx_m27_FILTER_LEN11_26,ubx_m67_FILTER_LEN11_66
cluster_4	ubx_m35_FILTER_LEN11_34,ubx_m59_FILTER_LEN11_58,ubx_m69_FILTER_LEN11_68
cluster_5	ubx_m75_FILTER_LEN11_74,ubx_m76_FILTER_LEN11_75
cluster_6	ubx_m52_FILTER_LEN11_51
cluster_7	ubx_m26_FILTER_LEN11_25
cluster_8	ubx_m37_FILTER_LEN11_36
cluster_9	ubx_m34_FILTER_LEN11_33
cluster_10	ubx_m79_FILTER_LEN11_78
cluster_11	ubx_m100_FILTER_LEN11_99
cluster_12	ubx_m10_FILTER_LEN11_9
cluster_13	ubx_m11_FILTER_LEN11_10
cluster_14	ubx_m12_FILTER_LEN11_11
cluster_15	ubx_m14_FILTER_LEN11_13
cluster_16	ubx_m15_FILTER_LEN11_14
cluster_17	ubx_m17_FILTER_LEN11_16
cluster_18	ubx_m18_FILTER_LEN11_17
cluster_19	ubx_m1_FILTER_LEN11_0
cluster_20	ubx_m21_FILTER_LEN11_20
cluster_21	ubx_m22_FILTER_LEN11_21
cluster_22	ubx_m25_FILTER_LEN11_24
cluster_23	ubx_m28_FILTER_LEN11_27
cluster_24	ubx_m29_FILTER_LEN11_28
cluster_25	ubx_m32_FILTER_LEN11_31
cluster_26	ubx_m33_FILTER_LEN11_32
cluster_27	ubx_m36_FILTER_LEN11_35
cluster_28	ubx_m39_FILTER_LEN11_38
cluster_29	ubx_m41_FILTER_LEN11_40
cluster_30	ubx_m42_FILTER_LEN11_41
cluster_31	ubx_m43_FILTER_LEN11_42
cluster_32	ubx_m44_FILTER_LEN11_43
cluster_33	ubx_m45_FILTER_LEN11_44
cluster_34	ubx_m46_FILTER_LEN11_45
cluster_35	ubx_m48_FILTER_LEN11_47
cluster_36	ubx_m50_FILTER_LEN11_49
cluster_37	ubx_m51_FILTER_LEN11_50
cluster_38	ubx_m53_FILTER_LEN11_52
cluster_39	ubx_m55_FILTER_LEN11_54
cluster_40	ubx_m56_FILTER_LEN11_55
cluster_41	ubx_m57_FILTER_LEN11_56
cluster_42	ubx_m5_FILTER_LEN11_4
cluster_43	ubx_m61_FILTER_LEN11_60
cluster_44	ubx_m62_FILTER_LEN11_61
cluster_45	ubx_m63_FILTER_LEN11_62
cluster_46	ubx_m64_FILTER_LEN11_63
cluster_47	ubx_m68_FILTER_LEN11_67
cluster_48	ubx_m70_FILTER_LEN11_69
cluster_49	ubx_m71_FILTER_LEN11_70
cluster_50	ubx_m72_FILTER_LEN11_71
cluster_51	ubx_m73_FILTER_LEN11_72
cluster_52	ubx_m7_FILTER_LEN11_6
cluster_53	ubx_m80_FILTER_LEN11_79
cluster_54	ubx_m82_FILTER_LEN11_81
cluster_55	ubx_m83_FILTER_LEN11_82
cluster_56	ubx_m84_FILTER_LEN11_83
cluster_57	ubx_m85_FILTER_LEN11_84
cluster_58	ubx_m87_FILTER_LEN11_86
cluster_59	ubx_m89_FILTER_LEN11_88
cluster_60	ubx_m8_FILTER_LEN11_7
cluster_61	ubx_m90_FILTER_LEN11_89
cluster_62	ubx_m91_FILTER_LEN11_90
cluster_63	ubx_m93_FILTER_LEN11_92
cluster_64	ubx_m94_FILTER_LEN11_93
cluster_65	ubx_m95_FILTER_LEN11_94
cluster_66	ubx_m96_FILTER_LEN11_95
cluster_67	ubx_m98_FILTER_LEN11_97
cluster_68	ubx_m99_FILTER_LEN11_98
cluster_69	ubx_m9_FILTER_LEN11_8
