cluster_1	FILTER_LEN11_12,FILTER_LEN11_18
cluster_2	FILTER_LEN11_22,FILTER_LEN11_1,FILTER_LEN11_77,FILTER_LEN11_30,FILTER_LEN11_23,FILTER_LEN11_15,FILTER_LEN11_57,FILTER_LEN11_48,FILTER_LEN11_76,FILTER_LEN11_64,FILTER_LEN11_2,FILTER_LEN11_73,FILTER_LEN11_19,FILTER_LEN11_46,FILTER_LEN11_37,FILTER_LEN11_3,FILTER_LEN11_29,FILTER_LEN11_39,FILTER_LEN11_96,FILTER_LEN11_80,FILTER_LEN11_87,FILTER_LEN11_5,FILTER_LEN11_53,FILTER_LEN11_85,FILTER_LEN11_65,FILTER_LEN11_59,FILTER_LEN11_91
cluster_3	FILTER_LEN11_26,FILTER_LEN11_66
cluster_4	FILTER_LEN11_34,FILTER_LEN11_58,FILTER_LEN11_68
cluster_5	FILTER_LEN11_74,FILTER_LEN11_75
cluster_6	FILTER_LEN11_51
cluster_7	FILTER_LEN11_25
cluster_8	FILTER_LEN11_36
cluster_9	FILTER_LEN11_33
cluster_10	FILTER_LEN11_78
cluster_11	FILTER_LEN11_99
cluster_12	FILTER_LEN11_9
cluster_13	FILTER_LEN11_10
cluster_14	FILTER_LEN11_11
cluster_15	FILTER_LEN11_13
cluster_16	FILTER_LEN11_14
cluster_17	FILTER_LEN11_16
cluster_18	FILTER_LEN11_17
cluster_19	FILTER_LEN11_0
cluster_20	FILTER_LEN11_20
cluster_21	FILTER_LEN11_21
cluster_22	FILTER_LEN11_24
cluster_23	FILTER_LEN11_27
cluster_24	FILTER_LEN11_28
cluster_25	FILTER_LEN11_31
cluster_26	FILTER_LEN11_32
cluster_27	FILTER_LEN11_35
cluster_28	FILTER_LEN11_38
cluster_29	FILTER_LEN11_40
cluster_30	FILTER_LEN11_41
cluster_31	FILTER_LEN11_42
cluster_32	FILTER_LEN11_43
cluster_33	FILTER_LEN11_44
cluster_34	FILTER_LEN11_45
cluster_35	FILTER_LEN11_47
cluster_36	FILTER_LEN11_49
cluster_37	FILTER_LEN11_50
cluster_38	FILTER_LEN11_52
cluster_39	FILTER_LEN11_54
cluster_40	FILTER_LEN11_55
cluster_41	FILTER_LEN11_56
cluster_42	FILTER_LEN11_4
cluster_43	FILTER_LEN11_60
cluster_44	FILTER_LEN11_61
cluster_45	FILTER_LEN11_62
cluster_46	FILTER_LEN11_63
cluster_47	FILTER_LEN11_67
cluster_48	FILTER_LEN11_69
cluster_49	FILTER_LEN11_70
cluster_50	FILTER_LEN11_71
cluster_51	FILTER_LEN11_72
cluster_52	FILTER_LEN11_6
cluster_53	FILTER_LEN11_79
cluster_54	FILTER_LEN11_81
cluster_55	FILTER_LEN11_82
cluster_56	FILTER_LEN11_83
cluster_57	FILTER_LEN11_84
cluster_58	FILTER_LEN11_86
cluster_59	FILTER_LEN11_88
cluster_60	FILTER_LEN11_7
cluster_61	FILTER_LEN11_89
cluster_62	FILTER_LEN11_90
cluster_63	FILTER_LEN11_92
cluster_64	FILTER_LEN11_93
cluster_65	FILTER_LEN11_94
cluster_66	FILTER_LEN11_95
cluster_67	FILTER_LEN11_97
cluster_68	FILTER_LEN11_98
cluster_69	FILTER_LEN11_8
