merged_ID	child_1	child_2
node_1	ubx_m12_FILTER_LEN11_11	ubx_m87_FILTER_LEN11_86
node_2	ubx_m29_FILTER_LEN11_28	ubx_m74_FILTER_LEN11_73
node_3	ubx_m3_FILTER_LEN11_2	ubx_m72_FILTER_LEN11_71
node_4	ubx_m40_FILTER_LEN11_39	node_1
node_5	ubx_m57_FILTER_LEN11_56	ubx_m95_FILTER_LEN11_94
node_6	ubx_m41_FILTER_LEN11_40	ubx_m8_FILTER_LEN11_7
node_7	ubx_m7_FILTER_LEN11_6	node_3
node_8	ubx_m19_FILTER_LEN11_18	node_4
node_9	ubx_m16_FILTER_LEN11_15	ubx_m88_FILTER_LEN11_87
node_10	ubx_m76_FILTER_LEN11_75	node_2
node_11	ubx_m48_FILTER_LEN11_47	ubx_m60_FILTER_LEN11_59
node_12	ubx_m13_FILTER_LEN11_12	ubx_m77_FILTER_LEN11_76
node_13	ubx_m38_FILTER_LEN11_37	ubx_m52_FILTER_LEN11_51
node_14	ubx_m66_FILTER_LEN11_65	node_7
node_15	ubx_m4_FILTER_LEN11_3	node_12
node_16	ubx_m69_FILTER_LEN11_68	node_10
node_17	ubx_m10_FILTER_LEN11_9	node_8
node_18	ubx_m47_FILTER_LEN11_46	ubx_m55_FILTER_LEN11_54
node_19	ubx_m45_FILTER_LEN11_44	ubx_m89_FILTER_LEN11_88
node_20	ubx_m49_FILTER_LEN11_48	ubx_m93_FILTER_LEN11_92
node_21	ubx_m54_FILTER_LEN11_53	node_17
node_22	ubx_m51_FILTER_LEN11_50	ubx_m86_FILTER_LEN11_85
node_23	node_6	node_9
node_24	ubx_m15_FILTER_LEN11_14	ubx_m24_FILTER_LEN11_23
node_25	ubx_m96_FILTER_LEN11_95	node_11
node_26	ubx_m70_FILTER_LEN11_69	node_16
node_27	ubx_m59_FILTER_LEN11_58	node_25
node_28	node_15	node_26
node_29	ubx_m36_FILTER_LEN11_35	ubx_m53_FILTER_LEN11_52
node_30	ubx_m85_FILTER_LEN11_84	node_13
node_31	node_18	node_28
node_32	node_14	node_21
node_33	ubx_m31_FILTER_LEN11_30	node_29
node_34	ubx_m92_FILTER_LEN11_91	node_20
node_35	ubx_m94_FILTER_LEN11_93	ubx_m98_FILTER_LEN11_97
node_36	ubx_m35_FILTER_LEN11_34	node_27
node_37	ubx_m26_FILTER_LEN11_25	node_35
node_38	ubx_m84_FILTER_LEN11_83	node_31
node_39	node_19	node_37
node_40	node_30	node_33
node_41	node_34	node_36
node_42	node_23	node_32
node_43	ubx_m37_FILTER_LEN11_36	ubx_m73_FILTER_LEN11_72
node_44	node_5	node_39
node_45	node_38	node_41
node_46	node_24	node_40
node_47	node_22	node_46
node_48	node_43	node_47
node_49	node_44	node_48
node_50	node_45	node_49
node_51	node_42	node_50
