	ubx_m100_FILTER_LEN11_99	ubx_m10_FILTER_LEN11_9	ubx_m11_FILTER_LEN11_10	ubx_m12_FILTER_LEN11_11	ubx_m13_FILTER_LEN11_12	ubx_m14_FILTER_LEN11_13	ubx_m15_FILTER_LEN11_14	ubx_m16_FILTER_LEN11_15	ubx_m17_FILTER_LEN11_16	ubx_m18_FILTER_LEN11_17	ubx_m19_FILTER_LEN11_18	ubx_m1_FILTER_LEN11_0	ubx_m20_FILTER_LEN11_19	ubx_m21_FILTER_LEN11_20	ubx_m22_FILTER_LEN11_21	ubx_m23_FILTER_LEN11_22	ubx_m24_FILTER_LEN11_23	ubx_m25_FILTER_LEN11_24	ubx_m26_FILTER_LEN11_25	ubx_m27_FILTER_LEN11_26	ubx_m28_FILTER_LEN11_27	ubx_m29_FILTER_LEN11_28	ubx_m2_FILTER_LEN11_1	ubx_m30_FILTER_LEN11_29	ubx_m31_FILTER_LEN11_30	ubx_m32_FILTER_LEN11_31	ubx_m33_FILTER_LEN11_32	ubx_m34_FILTER_LEN11_33	ubx_m35_FILTER_LEN11_34	ubx_m36_FILTER_LEN11_35	ubx_m37_FILTER_LEN11_36	ubx_m38_FILTER_LEN11_37	ubx_m39_FILTER_LEN11_38	ubx_m3_FILTER_LEN11_2	ubx_m40_FILTER_LEN11_39	ubx_m41_FILTER_LEN11_40	ubx_m42_FILTER_LEN11_41	ubx_m43_FILTER_LEN11_42	ubx_m44_FILTER_LEN11_43	ubx_m45_FILTER_LEN11_44	ubx_m46_FILTER_LEN11_45	ubx_m47_FILTER_LEN11_46	ubx_m48_FILTER_LEN11_47	ubx_m49_FILTER_LEN11_48	ubx_m4_FILTER_LEN11_3	ubx_m50_FILTER_LEN11_49	ubx_m51_FILTER_LEN11_50	ubx_m52_FILTER_LEN11_51	ubx_m53_FILTER_LEN11_52	ubx_m54_FILTER_LEN11_53	ubx_m55_FILTER_LEN11_54	ubx_m56_FILTER_LEN11_55	ubx_m57_FILTER_LEN11_56	ubx_m58_FILTER_LEN11_57	ubx_m59_FILTER_LEN11_58	ubx_m5_FILTER_LEN11_4	ubx_m60_FILTER_LEN11_59	ubx_m61_FILTER_LEN11_60	ubx_m62_FILTER_LEN11_61	ubx_m63_FILTER_LEN11_62	ubx_m64_FILTER_LEN11_63	ubx_m65_FILTER_LEN11_64	ubx_m66_FILTER_LEN11_65	ubx_m67_FILTER_LEN11_66	ubx_m68_FILTER_LEN11_67	ubx_m69_FILTER_LEN11_68	ubx_m6_FILTER_LEN11_5	ubx_m70_FILTER_LEN11_69	ubx_m71_FILTER_LEN11_70	ubx_m72_FILTER_LEN11_71	ubx_m73_FILTER_LEN11_72	ubx_m74_FILTER_LEN11_73	ubx_m75_FILTER_LEN11_74	ubx_m76_FILTER_LEN11_75	ubx_m77_FILTER_LEN11_76	ubx_m78_FILTER_LEN11_77	ubx_m79_FILTER_LEN11_78	ubx_m7_FILTER_LEN11_6	ubx_m80_FILTER_LEN11_79	ubx_m81_FILTER_LEN11_80	ubx_m82_FILTER_LEN11_81	ubx_m83_FILTER_LEN11_82	ubx_m84_FILTER_LEN11_83	ubx_m85_FILTER_LEN11_84	ubx_m86_FILTER_LEN11_85	ubx_m87_FILTER_LEN11_86	ubx_m88_FILTER_LEN11_87	ubx_m89_FILTER_LEN11_88	ubx_m8_FILTER_LEN11_7	ubx_m90_FILTER_LEN11_89	ubx_m91_FILTER_LEN11_90	ubx_m92_FILTER_LEN11_91	ubx_m93_FILTER_LEN11_92	ubx_m94_FILTER_LEN11_93	ubx_m95_FILTER_LEN11_94	ubx_m96_FILTER_LEN11_95	ubx_m97_FILTER_LEN11_96	ubx_m98_FILTER_LEN11_97	ubx_m99_FILTER_LEN11_98	ubx_m9_FILTER_LEN11_8
ubx_m100_FILTER_LEN11_99	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m10_FILTER_LEN11_9	1	0	0.525743	0.171419	0.408689	1	0.463606	0.261162	1	0.54844	0.290048	1	1	1	0.57564	1	0.568245	1	0.359642	1	1	0.313994	1	0.556177	0.489259	1	1	0.572311	0.454715	0.482531	0.518878	0.405854	1	0.376472	0.103228	0.266497	1	0.456988	1	0.38349	1	0.393671	0.481631	0.398234	0.246755	1	0.483464	0.417226	0.529373	0.204047	0.506947	1	0.499841	0.508582	0.460503	1	0.434688	1	1	1	0.485414	0.546092	0.301561	1	1	0.468829	1	0.433693	1	0.289448	0.580248	0.262744	1	0.337306	0.283944	1	1	0.350027	1	1	1	1	0.537287	0.558907	0.538834	0.197252	0.282429	0.487717	0.309999	1	0.560511	0.468005	0.554525	0.508821	0.44907	0.515725	1	0.517105	1	0.527361
ubx_m11_FILTER_LEN11_10	1	0.525743	0	0.465281	0.393157	1	0.521355	0.541162	1	0.346989	0.474355	1	1	1	0.657869	1	0.585035	1	0.536948	1	1	0.599181	1	0.609683	0.409852	1	1	0.559652	0.544139	0.426117	0.552234	0.48698	1	0.451868	0.500511	0.533636	1	0.438762	1	0.566687	1	0.525063	0.527154	0.568368	0.391296	1	0.421697	0.579039	0.61244	0.492226	0.582351	1	0.634616	0.40763	0.599877	1	0.343458	1	1	1	0.401231	0.603921	0.438477	1	1	0.660362	1	0.580586	1	0.435915	0.540907	0.605609	1	0.596289	0.483905	1	1	0.390729	1	1	1	1	0.569189	0.593673	0.486099	0.462128	0.567789	0.496825	0.589135	1	0.449629	0.594232	0.491839	0.510225	0.569904	0.392934	1	0.521197	1	0.258996
ubx_m12_FILTER_LEN11_11	1	0.171419	0.465281	0	0.581202	1	0.675251	0.2842	1	0.608815	0.123296	1	1	1	0.545197	1	0.701392	1	0.569295	1	1	0.519122	1	0.540993	0.497189	1	1	0.671671	0.590945	0.539226	0.608169	0.523785	1	0.276361	0.099135	0.206194	1	0.475608	1	0.494118	1	0.582646	0.608792	0.506552	0.239666	1	0.511606	0.58639	0.633651	0.189992	0.472899	1	0.619541	0.562952	0.528626	1	0.591191	1	1	1	0.563309	0.633409	0.285358	1	1	0.606311	1	0.62535	1	0.190263	0.657245	0.440177	1	0.552999	0.43024	1	1	0.289536	1	1	1	1	0.511464	0.583409	0.555835	0.064829	0.438165	0.642381	0.232601	1	0.583106	0.512897	0.467753	0.639797	0.582467	0.622685	1	0.520073	1	0.630123
ubx_m13_FILTER_LEN11_12	1	0.408689	0.393157	0.581202	0	1	0.523382	0.402451	1	0.38042	0.524321	1	1	1	0.504439	1	0.508662	1	0.386768	1	1	0.28868	1	0.692226	0.50741	1	1	0.625212	0.547488	0.316019	0.579157	0.522384	1	0.486153	0.50212	0.506307	1	0.601597	1	0.59974	1	0.302021	0.336903	0.263809	0.151846	1	0.450808	0.547242	0.424127	0.448194	0.244823	1	0.509127	0.552019	0.355773	1	0.392645	1	1	1	0.324412	0.58471	0.488873	1	1	0.31516	1	0.287428	1	0.474112	0.572337	0.195694	1	0.231805	0.128421	1	1	0.506963	1	1	1	1	0.254025	0.554381	0.534445	0.549465	0.311162	0.600274	0.49614	1	0.497808	0.436058	0.218271	0.537773	0.473726	0.412404	1	0.438907	1	0.464401
ubx_m14_FILTER_LEN11_13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m15_FILTER_LEN11_14	1	0.463606	0.521355	0.675251	0.523382	1	0	0.471004	1	0.384821	0.669533	1	1	1	0.616061	1	0.222566	1	0.336364	1	1	0.407646	1	0.497556	0.517623	1	1	0.57185	0.49277	0.560985	0.521771	0.378048	1	0.624038	0.491216	0.516719	1	0.589571	1	0.361471	1	0.380811	0.382304	0.471489	0.605087	1	0.35241	0.315585	0.46204	0.488976	0.535075	1	0.502159	0.550605	0.595077	1	0.479106	1	1	1	0.558817	0.579642	0.547369	1	1	0.416572	1	0.324637	1	0.627432	0.622175	0.443532	1	0.411362	0.430423	1	1	0.565474	1	1	1	1	0.623549	0.532944	0.399164	0.537417	0.413798	0.325454	0.577053	1	0.428895	0.553747	0.60168	0.392766	0.44421	0.308675	1	0.398052	1	0.555319
ubx_m16_FILTER_LEN11_15	1	0.261162	0.541162	0.2842	0.402451	1	0.471004	0	1	0.526249	0.332801	1	1	1	0.463644	1	0.521724	1	0.332086	1	1	0.39208	1	0.578167	0.535047	1	1	0.55994	0.553946	0.506432	0.503633	0.447182	1	0.469853	0.223559	0.115809	1	0.452645	1	0.512777	1	0.338065	0.409262	0.271354	0.28304	1	0.413113	0.495091	0.423159	0.35499	0.37918	1	0.463783	0.560936	0.411384	1	0.424623	1	1	1	0.455586	0.469182	0.425381	1	1	0.480656	1	0.413134	1	0.385806	0.608237	0.328739	1	0.369411	0.324946	1	1	0.385563	1	1	1	1	0.470876	0.526289	0.535823	0.253416	0.11744	0.499973	0.149912	1	0.477999	0.332488	0.316716	0.445466	0.454894	0.401321	1	0.437123	1	0.555479
ubx_m17_FILTER_LEN11_16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ubx_m18_FILTER_LEN11_17	1	0.54844	0.346989	0.608815	0.38042	1	0.384821	0.526249	1	0	0.606028	1	1	1	0.586503	1	0.475066	1	0.481809	1	1	0.580856	1	0.433493	0.41868	1	1	0.506554	0.427463	0.488429	0.409586	0.445302	1	0.433179	0.59533	0.590811	1	0.443067	1	0.37848	1	0.375778	0.455649	0.539651	0.59653	1	0.441692	0.493977	0.536163	0.447929	0.425922	1	0.555721	0.223815	0.46889	1	0.353514	1	1	1	0.295868	0.466842	0.415596	1	1	0.427976	1	0.433839	1	0.537304	0.390312	0.463465	1	0.447751	0.408771	1	1	0.441428	1	1	1	1	0.309752	0.568087	0.457454	0.559226	0.502105	0.466744	0.448256	1	0.429619	0.474274	0.401546	0.528187	0.47924	0.264679	1	0.563004	1	0.323213
